0.5 0.5 0.5 0.5
waterfront 0.833 0.167 0.500 0.500
types 0.714 0.286 0.714 0.286
attempt 0.500 0.500 0.125 0.875
third 0.688 0.312 0.188 0.812
recieved 0.500 0.500 0.167 0.833
headquarters 0.750 0.250 0.250 0.750
baggage 0.200 0.800 0.200 0.800
frequent 0.588 0.412 0.529 0.471
keeps 0.600 0.400 0.400 0.600
ethernet 0.500 0.500 0.250 0.750
wind 0.600 0.400 0.600 0.400
wine 0.569 0.431 0.625 0.375
deco 0.600 0.400 0.600 0.400
feedback 0.750 0.250 0.250 0.750
deck 0.333 0.667 0.333 0.667
welcomed 0.625 0.375 0.750 0.250
affect 0.500 0.500 0.750 0.250
responsive 0.400 0.600 0.400 0.600
hook 0.600 0.400 0.400 0.600
suites 0.299 0.701 0.558 0.442
fit 0.474 0.526 0.526 0.474
personal 0.282 0.718 0.385 0.615
soaking 0.500 0.500 0.667 0.333
fix 0.424 0.576 0.061 0.939
crew 0.500 0.500 0.125 0.875
weeks 0.481 0.519 0.259 0.741
easier 0.250 0.750 0.500 0.500
pleasurable 0.400 0.600 0.600 0.400
combination 0.400 0.600 0.600 0.400
duvet 0.889 0.111 0.333 0.667
workout 0.387 0.613 0.742 0.258
vouchers 0.800 0.200 0.600 0.400
therapy 0.167 0.833 0.667 0.333
indulge 0.250 0.750 0.500 0.500
headboard 0.200 0.800 0.600 0.400
meat 0.571 0.429 0.143 0.857
sleepless 0.571 0.429 0.143 0.857
spotless 0.467 0.533 0.933 0.067
pinch 0.500 0.500 0.500 0.500
sliver 0.750 0.250 0.250 0.750
meal 0.345 0.655 0.655 0.345
luck 0.750 0.250 0.125 0.875
whim 0.500 0.500 0.500 0.500
financial 0.250 0.750 0.750 0.250
series 0.400 0.600 0.200 0.800
wednesday 0.750 0.250 0.250 0.750
literature 0.750 0.250 0.250 0.750
forgot 0.538 0.462 0.385 0.615
navy 0.686 0.314 0.882 0.118
ring 0.600 0.400 0.400 0.600
hospitable 0.500 0.500 0.667 0.333
misfortune 0.250 0.750 0.250 0.750
convenience 0.125 0.875 0.625 0.375
re 0.610 0.390 0.305 0.695
debit 0.833 0.167 0.167 0.833
tolietries 0.750 0.250 0.750 0.250
rm 0.750 0.250 0.250 0.750
engineer 0.833 0.167 0.167 0.833
grease 0.750 0.250 0.250 0.750
turning 0.333 0.667 0.500 0.500
assured 0.381 0.619 0.143 0.857
threatened 0.500 0.500 0.250 0.750
sheet 0.714 0.286 0.143 0.857
sensors 0.750 0.250 0.250 0.750
alert 0.500 0.500 0.250 0.750
greasy 0.400 0.600 0.200 0.800
enormous 0.625 0.375 0.750 0.250
ate 0.609 0.391 0.696 0.304
starts 0.833 0.167 0.167 0.833
moment 0.308 0.692 0.692 0.308
musicians 0.333 0.667 0.500 0.500
speedy 0.250 0.750 0.500 0.500
isn 0.500 0.500 0.231 0.769
9pm 0.250 0.750 0.500 0.500
cleaning 0.250 0.750 0.212 0.788
features 0.167 0.833 0.611 0.389
grade 0.833 0.167 0.167 0.833
thereof 0.800 0.200 0.200 0.800
channels 0.667 0.333 0.111 0.889
wash 0.444 0.556 0.111 0.889
featured 0.500 0.500 0.500 0.500
floors 0.714 0.286 0.143 0.857
downside 0.833 0.167 0.833 0.167
comforter 0.556 0.444 0.333 0.667
remotely 0.750 0.250 0.500 0.500
olds 0.750 0.250 0.750 0.250
renovated 0.636 0.364 0.545 0.455
similarly 0.750 0.250 0.250 0.750
girls 0.500 0.500 0.500 0.500
needed 0.375 0.625 0.486 0.514
disappointed 0.457 0.543 0.086 0.914
listen 0.625 0.375 0.250 0.750
rewards 0.400 0.600 0.400 0.600
geneva 0.250 0.750 0.500 0.500
bacon 0.750 0.250 0.750 0.250
snooty 0.200 0.800 0.200 0.800
2am 0.750 0.250 0.250 0.750
satisfaction 0.200 0.800 0.800 0.200
somewhat 0.478 0.522 0.304 0.696
stocking 0.750 0.250 0.500 0.500
boarding 0.875 0.125 0.750 0.250
distance 0.662 0.338 0.775 0.225
showed 0.571 0.429 0.286 0.714
surrounding 0.571 0.429 0.429 0.571
tree 0.500 0.500 0.500 0.500
likely 0.500 0.500 0.250 0.750
matter 0.526 0.474 0.368 0.632
fabulous 0.538 0.462 0.897 0.103
lingering 0.250 0.750 0.250 0.750
feeling 0.448 0.552 0.655 0.345
mini 0.683 0.317 0.415 0.585
modern 0.340 0.660 0.763 0.237
mind 0.682 0.318 0.409 0.591
mine 0.312 0.688 0.375 0.625
seen 0.364 0.636 0.515 0.485
seem 0.463 0.537 0.195 0.805
mins 0.750 0.250 0.500 0.500
seek 0.500 0.500 0.250 0.750
tells 0.400 0.600 0.600 0.400
dozen 0.625 0.375 0.250 0.750
fax 0.500 0.500 0.500 0.500
person 0.506 0.494 0.200 0.800
climate 0.500 0.500 0.500 0.500
eagerly 0.750 0.250 0.500 0.500
recommended 0.486 0.514 0.703 0.297
edge 0.400 0.600 0.200 0.800
phoned 0.500 0.500 0.250 0.750
doors 0.697 0.303 0.303 0.697
sleeper 0.545 0.455 0.273 0.727
thrilled 0.400 0.600 0.600 0.400
replenished 0.600 0.400 0.600 0.400
memorabilia 0.667 0.333 0.500 0.500
theatres 0.833 0.167 0.500 0.500
regular 0.524 0.476 0.333 0.667
mouth 0.444 0.556 0.333 0.667
letter 0.636 0.364 0.182 0.818
assisting 0.500 0.500 0.500 0.500
alarm 0.500 0.500 0.500 0.500
lose 0.571 0.429 0.286 0.714
m 0.523 0.477 0.346 0.654
dog 0.179 0.821 0.590 0.410
appalled 0.600 0.400 0.200 0.800
tech 0.571 0.429 0.429 0.571
consumer 0.500 0.500 0.500 0.500
annoyed 0.389 0.611 0.111 0.889
saying 0.652 0.348 0.261 0.739
selected 0.600 0.400 0.400 0.600
departing 0.750 0.250 0.250 0.750
insects 0.600 0.400 0.200 0.800
visitor 0.333 0.667 0.500 0.500
meetings 0.385 0.615 0.538 0.462
retire 0.250 0.750 0.500 0.500
attempts 0.500 0.500 0.167 0.833
showing 0.625 0.375 0.125 0.875
stepping 0.200 0.800 0.800 0.200
tempted 0.500 0.500 0.250 0.750
touches 0.846 0.154 0.692 0.308
busy 0.533 0.467 0.467 0.533
layout 0.500 0.500 0.500 0.500
quaint 0.600 0.400 0.600 0.400
menu 0.412 0.588 0.471 0.529
explain 0.625 0.375 0.125 0.875
acne 0.750 0.250 0.250 0.750
bonuses 0.250 0.750 0.500 0.500
bust 0.250 0.750 0.250 0.750
appreciated 0.429 0.571 0.643 0.357
theme 0.750 0.250 0.625 0.375
touched 0.333 0.667 0.167 0.833
rich 0.125 0.875 0.625 0.375
folks 0.625 0.375 0.500 0.500
flooded 0.750 0.250 0.250 0.750
rice 0.750 0.250 0.250 0.750
wearing 0.667 0.333 0.333 0.667
plate 0.833 0.167 0.500 0.500
tiles 0.600 0.400 0.400 0.600
wide 0.556 0.444 0.222 0.778
stop 0.545 0.455 0.424 0.576
$16 0.833 0.167 0.333 0.667
appetizer 0.500 0.500 0.500 0.500
pocket 0.250 0.750 0.250 0.750
christopher 0.800 0.200 0.600 0.400
tiled 0.400 0.600 0.600 0.400
altogether 0.400 0.600 0.200 0.800
receptionist 0.579 0.421 0.211 0.789
bat 0.250 0.750 0.500 0.500
nicely 0.529 0.471 0.647 0.353
16 0.800 0.200 0.400 0.600
bag 0.500 0.500 0.400 0.600
bad 0.540 0.460 0.195 0.805
architecture 0.385 0.615 0.615 0.385
grilled 0.400 0.600 0.400 0.600
shula 0.125 0.875 0.750 0.250
respond 0.833 0.167 0.333 0.667
blew 0.571 0.429 0.143 0.857
disaster 0.400 0.600 0.200 0.800
fair 0.571 0.429 0.357 0.643
fluffy 0.375 0.625 0.750 0.250
decided 0.301 0.699 0.379 0.621
hotwire 0.941 0.059 0.765 0.235
fail 0.556 0.444 0.111 0.889
news 0.875 0.125 0.250 0.750
sinks 0.667 0.333 0.667 0.333
00 0.711 0.289 0.395 0.605
06 0.750 0.250 0.750 0.250
inappropriate 0.500 0.500 0.250 0.750
lots 0.744 0.256 0.667 0.333
09 0.800 0.200 0.800 0.200
pets 0.136 0.864 0.727 0.273
yogurt 0.400 0.600 0.600 0.400
sorts 0.333 0.667 0.333 0.667
rundown 0.500 0.500 0.250 0.750
men 0.714 0.286 0.429 0.571
extend 0.750 0.250 0.500 0.500
caray 0.500 0.500 0.500 0.500
rolled 0.375 0.625 0.125 0.875
smelled 0.236 0.764 0.109 0.891
extrodinary 0.500 0.500 0.750 0.250
aesthetic 0.400 0.600 0.600 0.400
vacuuming 0.429 0.571 0.143 0.857
lotion 0.667 0.333 0.500 0.500
drew 0.250 0.750 0.750 0.250
extent 0.750 0.250 0.250 0.750
downgrade 0.600 0.400 0.200 0.800
picking 0.400 0.600 0.600 0.400
10% 0.500 0.500 0.500 0.500
suggested 0.588 0.412 0.588 0.412
disdain 0.500 0.500 0.250 0.750
country 0.714 0.286 0.143 0.857
opportunities 0.600 0.400 0.600 0.400
heating 0.286 0.714 0.286 0.714
demanded 0.167 0.833 0.167 0.833
planned 0.381 0.619 0.143 0.857
argue 0.714 0.286 0.143 0.857
confronted 0.750 0.250 0.250 0.750
30th 0.400 0.600 0.600 0.400
presumably 0.250 0.750 0.250 0.750
exemplary 0.333 0.667 0.667 0.333
appeared 0.500 0.500 0.125 0.875
legs 0.500 0.500 0.250 0.750
fancypants 0.250 0.750 0.250 0.750
2nd 0.667 0.333 0.333 0.667
loaded 0.500 0.500 0.750 0.250
humming 0.750 0.250 0.250 0.750
priceline 0.977 0.023 0.568 0.432
tasted 0.467 0.533 0.467 0.533
proceeded 0.286 0.714 0.286 0.714
billing 0.800 0.200 0.200 0.800
basis 0.400 0.600 0.200 0.800
three 0.608 0.392 0.418 0.582
tiny 0.851 0.149 0.085 0.915
interest 0.667 0.333 0.833 0.167
basic 0.500 0.500 0.429 0.571
privilege 0.500 0.500 0.250 0.750
entered 0.286 0.714 0.333 0.667
lovely 0.680 0.320 0.660 0.340
incompetent 0.500 0.500 0.125 0.875
website 0.293 0.707 0.227 0.773
obese 0.750 0.250 0.250 0.750
life 0.355 0.645 0.613 0.387
recomend 0.200 0.800 0.800 0.200
worker 0.375 0.625 0.125 0.875
wish 0.286 0.714 0.500 0.500
lift 0.600 0.400 0.500 0.500
child 0.667 0.333 0.083 0.917
travelzoo 0.875 0.125 0.625 0.375
worked 0.381 0.619 0.476 0.524
exception 0.556 0.444 0.222 0.778
sofabed 0.800 0.200 0.600 0.400
scowled 0.200 0.800 0.200 0.800
ugly 0.500 0.500 0.125 0.875
near 0.574 0.426 0.459 0.541
melted 0.500 0.500 0.250 0.750
suppose 0.333 0.667 0.133 0.867
unloading 0.500 0.500 0.500 0.500
flooding 0.750 0.250 0.250 0.750
leaves 0.429 0.571 0.571 0.429
seven 0.714 0.286 0.286 0.714
metropolitan 0.500 0.500 0.500 0.500
sushi 0.167 0.833 0.500 0.500
shame 0.556 0.444 0.111 0.889
cant 0.800 0.200 0.400 0.600
im 0.714 0.286 0.286 0.714
conditioner 0.429 0.571 0.238 0.762
doorman 0.862 0.138 0.552 0.448
redecorated 0.750 0.250 0.500 0.500
memorial 0.800 0.200 0.600 0.400
bottles 0.800 0.200 0.400 0.600
things 0.500 0.500 0.341 0.659
bottled 0.833 0.167 0.500 0.500
split 0.714 0.286 0.286 0.714
unfortunate 0.500 0.500 0.100 0.900
lacks 0.500 0.500 0.500 0.500
entitled 0.750 0.250 0.250 0.750
fairly 0.474 0.526 0.211 0.789
ceilings 0.200 0.800 0.600 0.400
tops 0.333 0.667 0.500 0.500
managment 0.750 0.250 0.250 0.750
opulent 0.250 0.750 0.250 0.750
kit 0.333 0.667 0.778 0.222
delight 0.300 0.700 0.600 0.400
supper 0.250 0.750 0.375 0.625
opportunity 0.500 0.500 0.500 0.500
kid 0.222 0.778 0.444 0.556
changes 0.571 0.429 0.143 0.857
failing 0.750 0.250 0.250 0.750
smoker 0.750 0.250 0.250 0.750
burgers 0.250 0.750 0.500 0.500
materials 0.750 0.250 0.250 0.750
qualities 0.200 0.800 0.400 0.600
claims 0.182 0.818 0.091 0.909
corporate 0.619 0.381 0.524 0.476
yours 0.300 0.700 0.800 0.200
left 0.479 0.521 0.261 0.739
versed 0.750 0.250 0.500 0.500
assigned 0.571 0.429 0.214 0.786
alludes 0.250 0.750 0.250 0.750
human 0.500 0.500 0.500 0.500
yep 0.750 0.250 0.500 0.500
yes 0.676 0.324 0.353 0.647
zoo 0.500 0.500 0.500 0.500
yet 0.415 0.585 0.340 0.660
previous 0.704 0.296 0.407 0.593
equipment 0.462 0.538 0.538 0.462
ease 0.250 0.750 0.833 0.167
character 0.500 0.500 0.333 0.667
easy 0.581 0.419 0.806 0.194
prison 0.800 0.200 0.200 0.800
boasted 0.500 0.500 0.500 0.500
disagreement 0.500 0.500 0.250 0.750
possible 0.545 0.455 0.455 0.545
awhile 0.333 0.667 0.500 0.500
possibly 0.375 0.625 0.625 0.375
dreamy 0.250 0.750 0.500 0.500
3pm 0.571 0.429 0.286 0.714
background 0.800 0.200 0.400 0.600
softest 0.500 0.500 0.750 0.250
unique 0.429 0.571 0.500 0.500
vanity 0.667 0.333 0.333 0.667
patience 0.333 0.667 0.167 0.833
remind 0.667 0.333 0.333 0.667
steps 0.667 0.333 0.889 0.111
old 0.714 0.286 0.244 0.756
deal 0.625 0.375 0.422 0.578
crown 0.750 0.250 0.500 0.500
somehow 0.400 0.600 0.200 0.800
dead 0.556 0.444 0.222 0.778
insistence 0.500 0.500 0.250 0.750
dear 0.750 0.250 0.750 0.250
pain 0.500 0.500 0.500 0.500
fixable 0.750 0.250 0.250 0.750
ignore 0.400 0.600 0.300 0.700
bottom 0.706 0.294 0.176 0.824
normal 0.611 0.389 0.333 0.667
microwave 0.444 0.556 0.556 0.444
continue 0.571 0.429 0.286 0.714
treadmill 0.429 0.571 0.571 0.429
carte 0.750 0.250 0.500 0.500
fish 0.700 0.300 0.200 0.800
dunkin 0.750 0.250 0.750 0.250
popular 0.500 0.500 0.500 0.500
buffet 0.750 0.250 0.688 0.312
memorable 0.444 0.556 0.778 0.222
super 0.562 0.438 0.688 0.312
yelling 0.600 0.400 0.200 0.800
55 0.600 0.400 0.200 0.800
dollars 0.615 0.385 0.269 0.731
o 0.647 0.353 0.647 0.353
cliche 0.250 0.750 0.500 0.500
afternoon 0.522 0.478 0.478 0.522
stoked 0.250 0.750 0.750 0.250
lacked 0.500 0.500 0.250 0.750
slightly 0.750 0.250 0.250 0.750
automatically 0.571 0.429 0.286 0.714
nerve 0.250 0.750 0.250 0.750
raised 0.375 0.625 0.500 0.500
managers 0.824 0.176 0.294 0.706
facility 0.571 0.429 0.357 0.643
logo 0.167 0.833 0.167 0.833
honeymoon 0.400 0.600 0.733 0.267
soo 0.750 0.250 0.250 0.750
son 0.571 0.429 0.357 0.643
wrap 0.750 0.250 0.250 0.750
travels 0.556 0.444 0.667 0.333
often 0.583 0.417 0.417 0.583
east 0.379 0.621 0.636 0.364
cleared 0.500 0.500 0.250 0.750
waits 0.667 0.333 0.333 0.667
amazingly 0.556 0.444 0.778 0.222
support 0.429 0.571 0.429 0.571
initial 0.625 0.375 0.125 0.875
knowing 0.333 0.667 0.556 0.444
sheraton 0.437 0.563 0.535 0.465
music 0.613 0.387 0.645 0.355
halls 0.333 0.667 0.500 0.500
across 0.690 0.310 0.524 0.476
happy 0.500 0.500 0.660 0.340
form 0.571 0.429 0.286 0.714
offer 0.299 0.701 0.442 0.558
$200 0.714 0.286 0.357 0.643
inside 0.425 0.575 0.350 0.650
attached 0.923 0.077 0.615 0.385
tell 0.617 0.383 0.298 0.702
pest 0.750 0.250 0.250 0.750
minibar 0.857 0.143 0.238 0.762
bathrobe 0.286 0.714 0.286 0.714
covers 0.556 0.444 0.333 0.667
sticky 0.500 0.500 0.250 0.750
trendy 0.600 0.400 0.467 0.533
fashioned 0.333 0.667 0.667 0.333
muffins 0.556 0.444 0.444 0.556
floating 0.750 0.250 0.250 0.750
accomodating 0.625 0.375 0.625 0.375
handed 0.600 0.400 0.200 0.800
ourselves 0.600 0.400 0.400 0.600
flood 0.750 0.250 0.250 0.750
digital 0.750 0.250 0.500 0.500
smell 0.196 0.804 0.089 0.911
roll 0.929 0.071 0.214 0.786
kleenex 0.500 0.500 0.500 0.500
intend 0.400 0.600 0.200 0.800
palms 0.600 0.400 0.400 0.600
surprise 0.706 0.294 0.529 0.471
felt 0.378 0.622 0.532 0.468
fell 0.625 0.375 0.375 0.625
smelling 0.167 0.833 0.167 0.833
warn 0.500 0.500 0.250 0.750
happening 0.429 0.571 0.143 0.857
hypoallergenic 0.250 0.750 0.500 0.500
assume 0.500 0.500 0.100 0.900
daily 0.800 0.200 0.600 0.400
aerobic 0.500 0.500 0.500 0.500
rough 0.429 0.571 0.143 0.857
1st 0.500 0.500 0.500 0.500
managed 0.333 0.667 0.167 0.833
chain 0.556 0.444 0.333 0.667
themed 0.400 0.600 0.800 0.200
woodwork 0.500 0.500 0.500 0.500
skip 0.600 0.400 0.400 0.600
resources 0.250 0.750 0.750 0.250
ordering 0.600 0.400 0.600 0.400
mile 0.637 0.362 0.787 0.212
skin 0.600 0.400 0.400 0.600
chair 0.769 0.231 0.192 0.808
whichworked 0.750 0.250 0.250 0.750
21st 0.571 0.429 0.429 0.571
yummy 0.667 0.333 0.667 0.333
father 0.800 0.200 0.200 0.800
disgusting 0.533 0.467 0.067 0.933
answered 0.467 0.533 0.400 0.600
unpleasant 0.353 0.647 0.059 0.941
marks 0.500 0.500 0.500 0.500
suffered 0.500 0.500 0.250 0.750
icing 0.400 0.600 0.600 0.400
prepaid 0.600 0.400 0.200 0.800
cheap 0.459 0.541 0.243 0.757
construction 0.849 0.151 0.208 0.792
tends 0.400 0.600 0.400 0.600
choice 0.449 0.551 0.551 0.449
bustle 0.167 0.833 0.667 0.333
advised 0.667 0.333 0.333 0.667
word 0.667 0.333 0.250 0.750
exact 0.571 0.429 0.143 0.857
minute 0.638 0.362 0.574 0.426
drag 0.500 0.500 0.500 0.500
dim 0.750 0.250 0.500 0.500
die 0.214 0.786 0.929 0.071
accidentally 0.400 0.600 0.200 0.800
leave 0.386 0.614 0.474 0.526
item 0.400 0.600 0.200 0.800
settle 0.222 0.778 0.222 0.778
excellence 0.250 0.750 0.500 0.500
subway 0.923 0.077 0.692 0.308
team 0.600 0.400 0.400 0.600
dip 0.500 0.500 0.750 0.250
round 0.500 0.500 0.667 0.333
unaware 0.500 0.500 0.250 0.750
shoe 0.500 0.500 0.500 0.500
olympic 0.250 0.750 0.750 0.250
talked 0.375 0.625 0.375 0.625
attic 0.500 0.500 0.250 0.750
dealing 0.444 0.556 0.222 0.778
copy 0.714 0.286 0.286 0.714
steaks 0.600 0.400 0.400 0.600
run 0.643 0.357 0.321 0.679
movies 0.429 0.571 0.429 0.571
cleanliness 0.294 0.706 0.412 0.588
celebrated 0.750 0.250 0.750 0.250
remembered 0.800 0.200 0.200 0.800
suspect 0.800 0.200 0.400 0.600
international 0.400 0.600 0.400 0.600
falling 0.444 0.556 0.333 0.667
ground 0.750 0.250 0.250 0.750
filled 0.312 0.688 0.438 0.562
transportation 0.667 0.333 0.733 0.267
clerk 0.247 0.753 0.068 0.932
makeup 0.750 0.250 0.250 0.750
french 0.444 0.556 0.333 0.667
snack 0.600 0.400 0.700 0.300
address 0.750 0.250 0.375 0.625
alone 0.529 0.471 0.588 0.412
along 0.474 0.526 0.658 0.342
wait 0.325 0.675 0.244 0.756
box 0.800 0.200 0.200 0.800
passengers 0.750 0.250 0.500 0.500
hbo 0.250 0.750 0.750 0.250
shift 0.500 0.500 0.250 0.750
priceless 0.250 0.750 0.750 0.250
conveniently 0.333 0.667 0.556 0.444
massage 0.222 0.778 0.630 0.370
genuinely 0.600 0.400 0.800 0.200
love 0.561 0.439 0.719 0.281
merely 0.667 0.333 0.167 0.833
prefer 0.588 0.412 0.529 0.471
picks 0.500 0.500 0.750 0.250
fake 0.400 0.600 0.400 0.600
working 0.619 0.381 0.262 0.738
sake 0.500 0.500 0.250 0.750
positive 0.423 0.577 0.346 0.654
angry 0.167 0.833 0.167 0.833
hyatt 0.474 0.526 0.397 0.603
visit 0.333 0.667 0.667 0.333
explicitly 0.500 0.500 0.250 0.750
opposed 0.500 0.500 0.500 0.500
wondering 0.400 0.600 0.400 0.600
checkout 0.750 0.250 0.300 0.700
saks 0.750 0.250 0.750 0.250
wicked 0.800 0.200 0.800 0.200
scratched 0.250 0.750 0.250 0.750
sharing 0.400 0.600 0.200 0.800
afford 0.333 0.667 0.333 0.667
acceptable 0.429 0.571 0.143 0.857
apparent 0.400 0.600 0.200 0.800
everywhere 0.647 0.353 0.588 0.412
effort 0.625 0.375 0.250 0.750
housekeeping 0.641 0.359 0.188 0.812
fly 0.333 0.667 0.500 0.500
valued 0.250 0.750 0.500 0.500
anything 0.457 0.543 0.370 0.630
originally 0.105 0.895 0.263 0.737
reviews 0.773 0.227 0.467 0.533
soup 0.667 0.333 0.444 0.556
printing 0.800 0.200 0.600 0.400
9th 0.857 0.143 0.429 0.571
sky 0.200 0.800 0.600 0.400
following 0.643 0.357 0.286 0.714
making 0.421 0.579 0.421 0.579
arrive 0.421 0.579 0.316 0.684
bites 0.714 0.286 0.143 0.857
$180 0.750 0.250 0.500 0.500
claim 0.600 0.400 0.200 0.800
crazy 0.571 0.429 0.571 0.429
mirrors 0.600 0.400 0.200 0.800
awesome 0.548 0.452 0.774 0.226
confused 0.778 0.222 0.111 0.889
agent 0.778 0.222 0.111 0.889
sample 0.250 0.750 0.500 0.500
folio 0.750 0.250 0.250 0.750
allowed 0.364 0.636 0.500 0.500
clair 0.750 0.250 0.250 0.750
winter 0.778 0.222 0.778 0.222
poking 0.500 0.500 0.250 0.750
till 0.800 0.200 0.200 0.800
sunday 0.895 0.105 0.421 0.579
pure 0.125 0.875 0.750 0.250
tile 0.769 0.231 0.308 0.692
nyc 0.833 0.167 0.333 0.667
orginal 0.750 0.250 0.250 0.750
map 0.600 0.400 0.600 0.400
designer 0.167 0.833 0.500 0.500
laundry 0.400 0.600 0.500 0.500
mat 0.600 0.400 0.600 0.400
may 0.667 0.333 0.381 0.619
freezing 0.600 0.400 0.400 0.600
spot 0.500 0.500 0.688 0.312
membership 0.833 0.167 0.333 0.667
designed 0.231 0.769 0.769 0.231
mag 0.714 0.286 0.714 0.286
date 0.579 0.421 0.421 0.579
such 0.416 0.584 0.485 0.515
truly 0.455 0.545 0.545 0.455
filthy 0.529 0.471 0.118 0.882
man 0.538 0.462 0.269 0.731
stress 0.143 0.857 0.571 0.429
natural 0.625 0.375 0.500 0.500
maybe 0.643 0.357 0.250 0.750
sq 0.400 0.600 0.800 0.200
st 0.786 0.214 0.500 0.500
macys 0.750 0.250 0.750 0.250
switch 0.500 0.500 0.071 0.929
basket 0.500 0.500 0.500 0.500
tall 0.500 0.500 0.333 0.667
pulled 0.727 0.273 0.182 0.818
sf 0.750 0.250 0.250 0.750
gesture 0.750 0.250 0.750 0.250
cute 0.800 0.200 0.600 0.400
shoes 0.667 0.333 0.417 0.583
pointed 0.500 0.500 0.167 0.833
wishing 0.200 0.800 0.400 0.600
unacceptable 0.455 0.545 0.091 0.909
feature 0.500 0.500 0.500 0.500
course 0.630 0.370 0.296 0.704
terrace 0.500 0.500 0.500 0.500
argued 0.500 0.500 0.125 0.875
grout 0.833 0.167 0.167 0.833
splurge 0.167 0.833 0.333 0.667
group 0.650 0.350 0.400 0.600
thank 0.500 0.500 0.536 0.464
lackluster 0.250 0.750 0.125 0.875
